category,month,count,rollavg_3month
Aggravated Assault,2010-01-01,35,NA
Aggravated Assault,2010-02-01,37,NA
Aggravated Assault,2010-03-01,48,40
Aggravated Assault,2010-04-01,44,43
Aggravated Assault,2010-05-01,51,48
Aggravated Assault,2010-06-01,39,45
Aggravated Assault,2010-07-01,51,47
Aggravated Assault,2010-08-01,57,49
Aggravated Assault,2010-09-01,48,52
Aggravated Assault,2010-10-01,58,54
Aggravated Assault,2010-11-01,29,45
Aggravated Assault,2010-12-01,36,41
Aggravated Assault,2011-01-01,27,31
Aggravated Assault,2011-02-01,31,31
Aggravated Assault,2011-03-01,39,32
Aggravated Assault,2011-04-01,35,35
Aggravated Assault,2011-05-01,57,44
Aggravated Assault,2011-06-01,44,45
Aggravated Assault,2011-07-01,35,45
Aggravated Assault,2011-08-01,44,41
Aggravated Assault,2011-09-01,43,41
Aggravated Assault,2011-10-01,45,44
Aggravated Assault,2011-11-01,41,43
Aggravated Assault,2011-12-01,37,41
Aggravated Assault,2012-01-01,37,38
Aggravated Assault,2012-02-01,30,35
Aggravated Assault,2012-03-01,39,35
Aggravated Assault,2012-04-01,52,40
Aggravated Assault,2012-05-01,53,48
Aggravated Assault,2012-06-01,34,46
Aggravated Assault,2012-07-01,42,43
Aggravated Assault,2012-08-01,45,40
Aggravated Assault,2012-09-01,39,42
Aggravated Assault,2012-10-01,32,39
Aggravated Assault,2012-11-01,42,38
Aggravated Assault,2012-12-01,43,39
Aggravated Assault,2013-01-01,45,43
Aggravated Assault,2013-02-01,35,41
Aggravated Assault,2013-03-01,25,35
Aggravated Assault,2013-04-01,36,32
Aggravated Assault,2013-05-01,47,36
Aggravated Assault,2013-06-01,51,45
Aggravated Assault,2013-07-01,50,49
Aggravated Assault,2013-08-01,47,49
Aggravated Assault,2013-09-01,57,51
Aggravated Assault,2013-10-01,55,53
Aggravated Assault,2013-11-01,29,47
Aggravated Assault,2013-12-01,26,37
Aggravated Assault,2014-01-01,32,29
Aggravated Assault,2014-02-01,25,28
Aggravated Assault,2014-03-01,40,32
Aggravated Assault,2014-04-01,49,38
Aggravated Assault,2014-05-01,39,43
Aggravated Assault,2014-06-01,43,44
Aggravated Assault,2014-07-01,40,41
Aggravated Assault,2014-08-01,47,43
Aggravated Assault,2014-09-01,57,48
Aggravated Assault,2014-10-01,41,48
Aggravated Assault,2014-11-01,37,45
Aggravated Assault,2014-12-01,32,37
Aggravated Assault,2015-01-01,36,35
Aggravated Assault,2015-02-01,22,30
Aggravated Assault,2015-03-01,30,29
Aggravated Assault,2015-04-01,46,33
Aggravated Assault,2015-05-01,39,38
Aggravated Assault,2015-06-01,52,46
Aggravated Assault,2015-07-01,62,51
Aggravated Assault,2015-08-01,48,54
Aggravated Assault,2015-09-01,49,53
Aggravated Assault,2015-10-01,67,55
Aggravated Assault,2015-11-01,55,57
Aggravated Assault,2015-12-01,49,57
Aggravated Assault,2016-01-01,48,51
Aggravated Assault,2016-02-01,47,48
Aggravated Assault,2016-03-01,67,54
Aggravated Assault,2016-04-01,72,62
Aggravated Assault,2016-05-01,71,70
Aggravated Assault,2016-06-01,65,69
Aggravated Assault,2016-07-01,65,67
Aggravated Assault,2016-08-01,82,71
Aggravated Assault,2016-09-01,62,70
Aggravated Assault,2016-10-01,95,80
Aggravated Assault,2016-11-01,71,76
Aggravated Assault,2016-12-01,70,79
Aggravated Assault,2017-01-01,78,73
Aggravated Assault,2017-02-01,51,66
Aggravated Assault,2017-03-01,63,64
Aggravated Assault,2017-04-01,77,64
Aggravated Assault,2017-05-01,89,76
Aggravated Assault,2017-06-01,76,81
Aggravated Assault,2017-07-01,107,91
Aggravated Assault,2017-08-01,81,88
Aggravated Assault,2017-09-01,85,91
Aggravated Assault,2017-10-01,84,83
Aggravated Assault,2017-11-01,71,80
Aggravated Assault,2017-12-01,77,77
Aggravated Assault,2018-01-01,80,76
Aggravated Assault,2018-02-01,75,77
Aggravated Assault,2018-03-01,85,80
Aggravated Assault,2018-04-01,90,83
Aggravated Assault,2018-05-01,101,92
Aggravated Assault,2018-06-01,96,96
Aggravated Assault,2018-07-01,105,101
Aggravated Assault,2018-08-01,98,100
Aggravated Assault,2018-09-01,103,102
Aggravated Assault,2018-10-01,94,98
Aggravated Assault,2018-11-01,69,89
Aggravated Assault,2018-12-01,78,80
Aggravated Assault,2019-01-01,78,75
Aggravated Assault,2019-02-01,65,74
Aggravated Assault,2019-03-01,78,74
Aggravated Assault,2019-04-01,88,77
Aggravated Assault,2019-05-01,114,93
Aggravated Assault,2019-06-01,105,102
Aggravated Assault,2019-07-01,91,103
Aggravated Assault,2019-08-01,98,98
Aggravated Assault,2019-09-01,104,98
Aggravated Assault,2019-10-01,94,99
Aggravated Assault,2019-11-01,94,97
Aggravated Assault,2019-12-01,77,88
Aggravated Assault,2020-01-01,85,85
Aggravated Assault,2020-02-01,72,78
Aggravated Assault,2020-03-01,74,77
Aggravated Assault,2020-04-01,91,79
Aggravated Assault,2020-05-01,95,87
Aggravated Assault,2020-06-01,103,96
